,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,,,,,,,,,2RS1,2RSH,,,,,,,,,,,,,,
1,,,,,,,2Z,,,,,,,,,,,,,,,,,,
2,,Principal dimensions,,,Basic load ratings,Fatigue,Speed ratings,,Mass,,Designations,,,,,,,,,,,,,,
3,,,,dynamic,static,load limit,Reference,Limiting,,,Bearing,,,,,,,,,,,,,,
4,,,,,,,speed,speed1),,,open or capped,capped on one,,,,,,,,,,,,,
5,d,D,B,C,C0,Pu,,,,,on both sides,side1),,,≈,≈,≈,≈,min,min,max,max,max,,
6,mm,,,kN,,kN,r/min,,kg,,–,,,mm,,,,,,mm,,,,–,
92,,26,8,"4,75","1,96",83,–,19 000,19,▶,6000-2RSH,,6000-RSH,,–,"12,5",–,"22,6","0,3",12,"12,5",24,"0,3",25,12
93,,26,8,"4,75","1,96",83,67 000,34 000,19,▶,6000-2RSL,,6000-RSL,,–,"12,5",–,"22,6","0,3",12,"12,5",24,"0,3",25,12
94,,26,8,"4,75","1,96",83,67 000,34 000,"0,02",▶,6000-2Z,▶,6000-Z,,"14,8",–,–,"22,6","0,3",12,"14,7",24,"0,3",25,12
95,,26,12,"4,62","1,96",83,–,19 000,25,,63000-2RS1,,–,,"14,8",–,–,"22,6","0,3",12,"14,7",24,"0,3",25,12
96,,28,8,"5,07","2,36","0,1",60 000,30 000,26,,16100-2Z,,–,,17,–,–,"24,8","0,3","14,2","16,6","23,8","0,3",25,13
97,,28,8,"5,07","2,36","0,1",60 000,38 000,24,,16100,,–,,17,–,–,"24,8","0,3","14,2",–,"23,8","0,3",25,13
98,,30,9,"5,4","2,36","0,1",56 000,36 000,31,▶,6200,,–,,17,–,–,"24,8","0,6","14,2",–,"25,8","0,6",25,13
99,,30,9,"5,4","2,36","0,1",–,17 000,32,▶,6200-2RSH,,6200-RSH,,–,15,–,"24,8","0,6","14,2",15,"25,8","0,6",25,13
100,,30,9,"5,4","2,36","0,1",56 000,28 000,32,▶,6200-2RSL,,6200-RSL,,–,15,–,"24,8","0,6","14,2",15,"25,8","0,6",25,13
101,,30,9,"5,4","2,36","0,1",56 000,28 000,34,▶,6200-2Z,,6200-Z,,17,–,–,"24,8","0,6","14,2","16,9","25,8","0,6",25,13
