,0,1,2,3,4,5,6,7,8,9,10,11,12
19,"10,5",–,–,"16,7","0,3",10,–,17,"0,3","0,02","6,6",,
20,"11,1",–,–,"16,5","0,3",10,11,17,"0,3","0,025",13,,
21,"12,1",–,–,"19,2","0,3",10,–,20,"0,3","0,025",12,,
22,–,"10,5",–,"19,2","0,3",10,"10,5",20,"0,3","0,025",12,,
23,–,"10,5",–,"19,2","0,3",10,"10,5",20,"0,3","0,025",12,,
24,"12,1",–,–,"19,2","0,3",10,12,20,"0,3","0,025",12,,
25,"11,8",–,–,19,"0,3",10,"11,7",20,"0,3","0,025",12,,
26,"14,4",–,–,"21,2","0,3","10,4",–,"21,6","0,3","0,025",13,,
27,"14,4",–,–,"21,2","0,3","10,4","14,4","21,6","0,3","0,025",13,,
28,"14,4",–,–,"21,2","0,3","10,4","14,4","21,6","0,3","0,025",13,,
29,"14,4",–,–,"21,2","0,3","10,4","14,4","21,6","0,3","0,025",13,,
30,"14,8",–,–,"22,6","0,3","10,4","14,7","25,6","0,3","0,03",12,,
31,"11,5",–,"14,5",–,"0,2","10,4",–,"15,6","0,2","0,015","7,7",,
32,–,"10,7",–,"15,2","0,2","10,4","10,5","15,6","0,2","0,015",11,,
33,–,"10,7",–,"15,2","0,2","10,4","10,5","15,6","0,2","0,015",11,,
34,"11,6",–,–,"17,5","0,3",11,"11,5",18,"0,3","0,02",12,,
35,"11,6",–,–,"17,5","0,3",11,–,18,"0,3","0,02",12,,
36,"14,4",–,–,"21,2","0,3",11,–,22,"0,3","0,025",13,,
0,≈,≈,≈,≈,min,min,max,max,max,,,,
1,,,,,,mm,,,,–,,,
2,9,–,12,–,"0,15","7,8",–,"13,2","0,1","0,015","7,2",,
3,–,"8,5",–,"12,7","0,15","7,8",8,"13,2","0,1","0,015",11,,
4,"10,4",–,–,"14,3","0,3",9,"9,7",15,"0,3","0,02","7,3",,
5,"10,4",–,–,"14,3","0,3",9,–,15,"0,3","0,02","7,3",,
6,"11,1",–,–,"16,5","0,3",9,–,17,"0,3","0,025",13,,
7,–,"9,5",–,"16,5","0,3",9,"9,4",17,"0,3","0,025",13,,
8,–,"9,5",–,"16,5","0,3",9,"9,4",17,"0,3","0,025",13,,
9,"11,1",–,–,"16,5","0,3",9,11,17,"0,3","0,025",13,,
10,"12,1",–,–,"19,2","0,3","9,4",–,"19,6","0,3","0,025",12,,
11,–,"10,5",–,"19,2","0,3","9,4","10,5","19,6","0,3","0,025",12,,
12,–,"10,5",–,"19,2","0,3","9,4","10,5","19,6","0,3","0,025",12,,
13,"12,1",–,–,"19,2","0,3","9,4","12,1","19,6","0,3","0,025",12,,
14,"10,5",–,"13,5",–,"0,2","9,4",–,"14,6","0,2","0,015","7,5",,
15,"10,1",–,–,"14,2","0,2","9,4","9,4","14,6","0,2","0,015",11,,
